name,code,category,url,image_url,image_path,price,calories,description,vegetarian
Cantina Chicken Soft Taco,23470,Tacos,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-soft-taco,https://www.tacobell.com/images/23470_new_cantina_chicken_soft_taco_269x269.jpg,images/Cantina_Chicken_Soft_Taco.jpg,$3.49,260,,False
Soft Taco,22110,Tacos,https://www.tacobell.com/food/tacos/soft-taco,https://www.tacobell.com/images/22110_soft_taco_269x269.jpg,images/Soft_Taco.jpg,$2.19,180,,False
Soft Taco Supreme®,22111,Tacos,https://www.tacobell.com/food/tacos/soft-taco-supreme,https://www.tacobell.com/images/22111_soft_taco_supreme_269x269.jpg,images/Soft_Taco_Supreme.jpg,$2.99,200,,False
Spicy Potato Soft Taco,22259,Tacos,https://www.tacobell.com/food/cravings-value-menu/spicy-potato-soft-taco,https://www.tacobell.com/images/22259_spicy_potato_soft_taco_269x269.jpg,images/Spicy_Potato_Soft_Taco.jpg,$1.39,240,,True
Crunchy Taco,22100,Tacos,https://www.tacobell.com/food/tacos/crunchy-taco,https://www.tacobell.com/images/22100_crunchy_taco_269x269.jpg,images/Crunchy_Taco.jpg,$2.19,170,,False
Crunchy Taco Supreme®,22101,Tacos,https://www.tacobell.com/food/tacos/crunchy-taco-supreme,https://www.tacobell.com/images/22101_crunchy_taco_supreme_269x269.jpg,images/Crunchy_Taco_Supreme.jpg,$2.99,190,,False
Nacho Cheese Doritos® Locos Tacos,22172,Tacos,https://www.tacobell.com/food/tacos/nacho-cheese-doritos-locos-tacos,https://www.tacobell.com/images/22172_nacho_cheese_doritos_locos_tacos_269x269.jpg,images/Nacho_Cheese_Doritos_Locos_Tacos.jpg,$2.99,170,,False
Nacho Cheese Doritos® Locos Tacos Supreme®,22173,Tacos,https://www.tacobell.com/food/tacos/nacho-cheese-doritos-locos-tacos-supreme,https://www.tacobell.com/images/22173_nacho_cheese_doritos_locos_tacos_supreme_269x269.jpg,images/Nacho_Cheese_Doritos_Locos_Tacos_Supreme.jpg,$3.99,190,,False
Chalupa Supreme,22850,Tacos,https://www.tacobell.com/food/specialties/chalupa-supreme,https://www.tacobell.com/images/22850_chalupa_supreme_269x269.jpg,images/Chalupa_Supreme.jpg,$5.99,350,,False
Black Bean Chalupa Supreme,23153,Tacos,https://www.tacobell.com/food/specialties/black-bean-chalupa,https://www.tacobell.com/images/23153_black_bean_chalupa_269x269.jpg,images/Black_Bean_Chalupa_Supreme.jpg,$5.99,340,,True
Cheesy Gordita Crunch,22813,Tacos,https://www.tacobell.com/food/specialties/cheesy-gordita-crunch,https://www.tacobell.com/images/22813_cheesy_gordita_crunch_269x269.jpg,images/Cheesy_Gordita_Crunch.jpg,$5.99,490,,False
Doritos® Cheesy Gordita Crunch - Nacho Cheese,24067,Tacos,https://www.tacobell.com/food/tacos/doritos-cheesy-gordita-crunch,https://www.tacobell.com/images/24067_doritos_cheesy_gordita_crunch_269x269.jpg,images/Doritos_Cheesy_Gordita_Crunch_-_Nacho_Cheese.jpg,$5.99,490,,False
Volcano Quesarito,26086,Burritos,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,640,,False
