restaurant_name,food_id,food_name,food_name_cn,calories,protein_g,total_fat_g,total_carbs_g,sodium_mg,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,added_sugars_g,protein_dv,total_carbs_dv,total_fat_dv,saturated_fat_dv,trans_fat_dv,cholesterol_dv,sodium_dv,dietary_fiber_dv,total_sugars_dv,added_sugars_dv,vitamin_d_mcg,vitamin_d_dv,calcium_mg,calcium_dv,iron_mg,iron_dv,potassium_mg,potassium_dv,description,allergens,ingredient_count,ingredients_full,allergens_full,product_url,local_image_path,scraped_date,
Jersey Mike's,55-hot-giant-chicken-big-kahuna-rosemary-parmesan,#55 - Hot Giant - Chicken Big Kahuna - Rosemary Parmesan,,1330,111,37,141,4830,18,1,255,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,55-hot-giant-chicken-big-kahuna-wheat-sub,#55 - Hot Giant - Chicken Big Kahuna - Wheat Sub,,1280,110,33,140,4630,16,1,245,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,55-hot-giant-chicken-big-kahuna-white-sub,#55 - Hot Giant - Chicken Big Kahuna - White Sub,,1270,107,33,140,4690,16,1,245,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,56-hot-giant-big-kahuna-rosemary-parmesan,#56 - Hot Giant - Big Kahuna - Rosemary Parmesan,,1470,99,59,140,5060,29,1,275,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,56-hot-giant-big-kahuna-wheat-sub,#56 - Hot Giant - Big Kahuna - Wheat Sub,,1420,98,55,138,4860,26,1,265,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,56-hot-giant-big-kahuna-white-sub,#56 - Hot Giant - Big Kahuna - White Sub,,1410,95,55,138,4920,26,1,265,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,64-hot-giant-portabella-mushroom-swiss-rosemary-parmesan,#64 - Hot Giant - Portabella Mushroom & Swiss - Rosemary Parmesan,,1290,52,61,138,1840,23,1,75,11,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,64-hot-giant-portabella-mushroom-swiss-wheat-sub,#64 - Hot Giant - Portabella Mushroom & Swiss - Wheat Sub,,1240,50,58,136,1640,21,1,65,13,18,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,64-hot-giant-portabella-mushroom-swiss-white-sub,#64 - Hot Giant - Portabella Mushroom & Swiss - White Sub,,1230,47,58,136,1690,21,1,65,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,65-hot-giant-portabella-chicken-philly-rosemary-parmesan,#65 - Hot Giant - Portabella Chicken Philly - Rosemary Parmesan,,1250,106,31,140,4150,15,1,235,7,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,65-hot-giant-portabella-chicken-philly-wheat-sub,#65 - Hot Giant - Portabella Chicken Philly - Wheat Sub,,1200,105,28,138,3950,12,1,225,10,23,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
Jersey Mike's,65-hot-giant-portabella-chicken-philly-white-sub,#65 - Hot Giant - Portabella Chicken Philly - White Sub,,1190,102,27,138,4010,12,1,225,6,21,,,,,,,,,,,,,,,,,,,,,,,,,,,2026/2/7,
