restaurant_name,food_name,calories,protein_g,total_fat_g,sodium_mg,total_carbs_g,saturated_fat_g,trans_fat_g,cholesterol_mg,fiber_g,sugars_g,food_id,food_name_cn,description,allergens,local_image_path,scraped_date
Shake Shack,Orange Juice,165,3,0,12,41,0,0,0,2,30,941329,,"Orange Juice, Drinks",,,2026-02-04
Shake Shack,Gluten Free Bun,160,3,3,350,31,0,0,0,2,5,957781,,"Gluten Free Bun, Burgers",,,2026-02-04
Shake Shack,Malt,90,2,1,70,19,0.5,0,5,0,16,941265,,"Malt, Shakes",,,2026-02-04
Shake Shack,Single Hamburger,370,25,18,850,24,8,1,75,0,5,941204,,"Single Hamburger, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
Shake Shack,Bacon Breakfast Sandwich,400,23,23,890,25,10,0,230,0,5,941241,,"Bacon Breakfast Sandwich, Cage Free Eggs, Non-GMO Potato Bun, Breakfast",,,2026-02-04
Shake Shack,Sausage Breakfast Sandwich,340,17,19,610,25,9,0,215,0,5,941245,,"Sausage Breakfast Sandwich, Cage Free Eggs, Non-GMO Potato Bun, Breakfast",,,2026-02-04
Shake Shack,Chicken Bites (6 piece),300,17,19,780,15,3.5,0,50,0,1,957784,,"Chicken Bites (6 piece), Chicken",,,2026-02-04
Shake Shack,Hot Dog,350,16,22,800,25,10,0,50,0,6,941249,,"Hot Dog, 100% All Natural Vienna Beef, Non-GMO Potato Bun, Flat-Top Dogs",,,2026-02-04
Shake Shack,Grilled Cheese,320,14,18,850,25,10,0.5,45,0,5,941203,,"Grilled Cheese, Burgers",,,2026-02-04
Shake Shack,Sausage Link,240,9,20,682,2,7,0,40,0,0,941251,,"Sausage Link, 100% All Natural Vienna Beef, Non-GMO Potato Bun, Flat-Top Dogs",,,2026-02-04
Shake Shack,Single Vanilla Cup,280,7,15,180,30,9,0,100,0,30,941277,,"Single Vanilla Cup, Cups",,,2026-02-04
Shake Shack,Double Hamburger,560,44,30,1540,24,12,1.5,140,0,5,941205,,"Double Hamburger, 100% All Natural Angus Beef, Non-GMO Potato Bun, Burgers",,,2026-02-04
