name,code,category,url,image_url,image_path,price,serving_size,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian,calories_api
Mini Taco Salad,25502,New,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$2.49,,280,15.0,4.0,0.0,20,490,27,6,2,0,9,False,280
Chips and Nacho Supreme Dip,25509,New,https://www.tacobell.com/food/deals-and-combos/chips-and-nacho-supreme-dip,https://www.tacobell.com/images/25509_chips_and_nacho_supreme_dip_new_269x269.jpg,images/Chips_and_Nacho_Supreme_Dip.jpg,$2.49,,360,19.0,4.5,0.0,20,720,37,7,3,0,10,False,360
Avocado Ranch Chicken Stacker,25500,New,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$2.99,,350,15.0,4.5,0.0,35,890,40,3,3,1,16,False,430
Crispy Chicken Nuggets Deluxe Combo,29414,New,https://www.tacobell.com/food/deals-and-combos/crispy-chicken-nuggets-deluxe-combo,https://www.tacobell.com/images/29414_crispy_chicken_nuggets_deluxe_combo_269x269.jpg,images/Crispy_Chicken_Nuggets_Deluxe_Combo.jpg,$11.99,,320,13.0,1.5,0.0,55,"1,050",25,3,0,0,25,False,1160-1580
10 Piece Crispy Chicken Nuggets Combo,29409,New,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets-combo,https://www.tacobell.com/images/29409_10pc_crispy_chicken_nuggets_combo_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets_Combo.jpg,$10.99,,,,,,,,,,,,,False,950-1370
10 Piece Crispy Chicken Nuggets,29405,New,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$7.99,,,,,,,,,,,,,False,620
5 Piece Crispy Chicken Nuggets,29404,New,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$4.99,,,,,,,,,,,,,False,310
Discovery Luxe Box,23833,New,https://www.tacobell.com/food/deals-and-combos/discovery-luxe-box,https://www.tacobell.com/images/23833_discovery_luxe_box_269x269.jpg,images/Discovery_Luxe_Box.jpg,$9.00,,,,,,,,,,,,,False,1200-1480
Steak Garlic Nacho Fries,23891,New,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$5.49,,500,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,False,490
Volcano Quesarito,26086,New,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,,,,,,,,,,,,,False,640
Confetti Cookie Freeze,2388Main,New,https://www.tacobell.com/food/drinks/confetti-cookie-freeze,https://www.tacobell.com/images/2388_confetti_cookie_sprinkle_freeze_269x269.jpg,images/Confetti_Cookie_Freeze.jpg,$3.99,,260,1.0,0.5,0.0,<5,95,66,0,63,63,0,False,0
Mountain Dew Baja Midnight™,3782Main,New,https://www.tacobell.com/food/drinks/mountain-dew-baja-midnight,https://www.tacobell.com/images/3782_mtn_dew_baja_blast_midnight_269x269.jpg,images/Mountain_Dew_Baja_Midnight.jpg,$2.79,,420,0.0,0.0,0.0,0,120,111,0,111,111,0,False,0
Build Your Own Luxe Cravings Box,23622,Online exclusives,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,,,,,,,,,,,False,690-1940
Meal for 2,23218,Online exclusives,https://www.tacobell.com/food/party-packs/meal-for-2,https://www.tacobell.com/images/23218_meal_for_2_269x269.jpg,images/Meal_for_2.jpg,$12.50,,,,,,,,,,,,,False,180-530
Meal for 4,23220,Online exclusives,https://www.tacobell.com/food/party-packs/meal-for-4,https://www.tacobell.com/images/23220_variety_cravings_meal_269x269.jpg,images/Meal_for_4.jpg,$20.83,,,,,,,,,,,,,False,180-530
Veggie Meal for 2,23219,Online exclusives,https://www.tacobell.com/food/party-packs/veggie-meal-for-2,https://www.tacobell.com/images/23219_veggie_meal_for_2_269x269.jpg,images/Veggie_Meal_for_2.jpg,$12.50,,,,,,,,,,,,,True,220-470
Drinks Party Pack,21210,Online exclusives,https://www.tacobell.com/food/deals-and-combos/drinks-party-pack,https://www.tacobell.com/images/21210_drink_party_pack_269x269.jpg,images/Drinks_Party_Pack.jpg,$4.00,,,,,,,,,,,,,False,0-1120
Crispy Chicken Nuggets Deluxe Combo,29414,Combos,https://www.tacobell.com/food/deals-and-combos/crispy-chicken-nuggets-deluxe-combo,https://www.tacobell.com/images/29414_crispy_chicken_nuggets_deluxe_combo_269x269.jpg,images/Crispy_Chicken_Nuggets_Deluxe_Combo.jpg,$11.99,,320,13.0,1.5,0.0,55,"1,050",25,3,0,0,25,False,1160-1580
10 Piece Crispy Chicken Nuggets Combo,29409,Combos,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets-combo,https://www.tacobell.com/images/29409_10pc_crispy_chicken_nuggets_combo_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets_Combo.jpg,$10.99,,,,,,,,,,,,,False,950-1370
Discovery Luxe Box,23833,Combos,https://www.tacobell.com/food/deals-and-combos/discovery-luxe-box,https://www.tacobell.com/images/23833_discovery_luxe_box_269x269.jpg,images/Discovery_Luxe_Box.jpg,$9.00,,,,,,,,,,,,,False,1200-1480
Build Your Own Luxe Cravings Box,23622,Combos,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$6.99,,,,,,,,,,,,,False,690-1940
Supreme Luxe Box,27276,Combos,https://www.tacobell.com/food/deals-and-combos/supreme-luxe-box,https://www.tacobell.com/images/27276_supreme_luxe_box_269x269.jpg,images/Supreme_Luxe_Box.jpg,$7.00,,,,,,,,,,,,,False,1160-1440
Classic Luxe Box,27272,Combos,https://www.tacobell.com/food/deals-and-combos/classic-luxe-box,https://www.tacobell.com/images/27272_classic_luxe_box_269x269.jpg,images/Classic_Luxe_Box.jpg,$5.00,,,,,,,,,,,,,False,820-1100
Meal for 2,23218,Groups,https://www.tacobell.com/food/party-packs/meal-for-2,https://www.tacobell.com/images/23218_meal_for_2_269x269.jpg,images/Meal_for_2.jpg,$12.50,,,,,,,,,,,,,False,180-530
Meal for 4,23220,Groups,https://www.tacobell.com/food/party-packs/meal-for-4,https://www.tacobell.com/images/23220_variety_cravings_meal_269x269.jpg,images/Meal_for_4.jpg,$20.83,,,,,,,,,,,,,False,180-530
Veggie Meal for 2,23219,Groups,https://www.tacobell.com/food/party-packs/veggie-meal-for-2,https://www.tacobell.com/images/23219_veggie_meal_for_2_269x269.jpg,images/Veggie_Meal_for_2.jpg,$12.50,,,,,,,,,,,,,True,220-470
Taco & Burrito Cravings Pack,60528,Groups,https://www.tacobell.com/food/party-packs/cravings-pack,https://www.tacobell.com/images/60528_taco_and_burrito_pack_269x269.jpg,images/Taco__Burrito_Cravings_Pack.jpg,$20.99,,,,,,,,,,,,,False,170-490
Taco Party Pack,22189,Groups,https://www.tacobell.com/food/party-packs/taco-party-pack,https://www.tacobell.com/images/22189_taco_12_pack_269x269.jpg,images/Taco_Party_Pack.jpg,$21.99,,,,,,,,,,,,,False,170
Supreme Taco Party Pack,21200,Groups,https://www.tacobell.com/food/party-packs/supreme-taco-party-pack,https://www.tacobell.com/images/21200_supreme_taco_party_pack_269x269.jpg,images/Supreme_Taco_Party_Pack.jpg,$28.99,,550,35.0,7.0,0.0,35,"1,240",45,6,3,0,13,False,190
Soft Taco Party Pack,22187,Groups,https://www.tacobell.com/food/party-packs/soft-taco-party-pack,https://www.tacobell.com/images/22187_soft_taco_party_pack_269x269.jpg,images/Soft_Taco_Party_Pack.jpg,$21.99,,180,8.0,4.0,0.0,25,500,18,3,1,<1,9,False,180
Supreme Soft Taco Party Pack,21201,Groups,https://www.tacobell.com/food/party-packs/supreme-soft-taco-party-pack,https://www.tacobell.com/images/21201_soft_taco_supreme_party_pack_269x269.jpg,images/Supreme_Soft_Taco_Party_Pack.jpg,$28.99,,550,35.0,7.0,0.0,35,"1,240",45,6,3,0,13,False,200
Variety Taco Party Pack,26054,Groups,https://www.tacobell.com/food/party-packs/variety-taco-party-pack,https://www.tacobell.com/images/22119_variety_taco_12_pack_269x269.jpg,images/Variety_Taco_Party_Pack.jpg,$24.99,,,,,,,,,,,,,False,170
Supreme Variety Taco Party Pack,26055,Groups,https://www.tacobell.com/food/party-packs/supreme-variety-party-pack,https://www.tacobell.com/images/21202_supreme_variety_pack_269x269.jpg,images/Supreme_Variety_Taco_Party_Pack.jpg,$30.99,,,,,,,,,,,,,False,190
Drinks Party Pack,21210,Groups,https://www.tacobell.com/food/deals-and-combos/drinks-party-pack,https://www.tacobell.com/images/21210_drink_party_pack_269x269.jpg,images/Drinks_Party_Pack.jpg,$4.00,,,,,,,,,,,,,False,0-1120
Beefy Potato Loaded Griller,25501,Specialties,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$2.79,,480,23.0,6.0,0.0,25,"1,120",56,5,3,2,12,False,490
Mini Taco Salad,25502,Specialties,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$2.49,,280,15.0,4.0,0.0,20,490,27,6,2,0,9,False,280
Avocado Ranch Chicken Stacker,25500,Specialties,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$2.99,,350,15.0,4.5,0.0,35,890,40,3,3,1,16,False,430
10 Piece Crispy Chicken Nuggets,29405,Specialties,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29405_10pc_crispy_chicken_nuggets_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets.jpg,$7.99,,,,,,,,,,,,,False,620
5 Piece Crispy Chicken Nuggets,29404,Specialties,https://www.tacobell.com/food/deals-and-combos/5-piece-crispy-chicken-nuggets,https://www.tacobell.com/images/29404_5pc_crispy_chicken_nuggets_269x269.jpg,images/5_Piece_Crispy_Chicken_Nuggets.jpg,$4.99,,,,,,,,,,,,,False,310
Steak Garlic Nacho Fries,23891,Specialties,https://www.tacobell.com/food/specialties/steak-garlic-nacho-fries,https://www.tacobell.com/images/23891_steak_garlic_nacho_fries_269x269.jpg,images/Steak_Garlic_Nacho_Fries.jpg,$5.49,,500,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,False,490
Volcano Quesarito,26086,Specialties,https://www.tacobell.com/food/specialties/volcano-quesarito,https://www.tacobell.com/images/26086_volcano_quesarito_269x269.jpg,images/Volcano_Quesarito.jpg,$5.49,,,,,,,,,,,,,False,640
Large Nacho Fries,28183,Specialties,https://www.tacobell.com/food/deals-and-combos/large-nacho-fries,https://www.tacobell.com/images/28183_nacho_fries_large_269x269.jpg,images/Large_Nacho_Fries.jpg,$3.69,,500,29.0,2.5,0.0,0,"1,090",52,5,1,0,6,True,470
Nacho Fries,28095,Specialties,https://www.tacobell.com/food/deals-and-combos/nacho-fries,https://www.tacobell.com/images/28095_nacho_fries_269x269.jpg,images/Nacho_Fries.jpg,$2.89,,350,21.0,2.0,0.0,0,790,36,3,1,0,4,True,330
3 Cheese Chicken Flatbread Melt,23499,Specialties,https://www.tacobell.com/food/quesadillas/3-cheese-chicken-flatbread-melt,https://www.tacobell.com/images/23499_new_3_cheese_chicken_flatbread_melt_269x269.jpg,images/3_Cheese_Chicken_Flatbread_Melt.jpg,$2.39,,320,14.0,6.0,0.0,50,750,30,3,4,<1,20,False,330
Mexican Pizza,22303,Specialties,https://www.tacobell.com/food/specialties/mexican-pizza,https://www.tacobell.com/images/22303_mexican_pizza_269x269.jpg,images/Mexican_Pizza.jpg,$6.39,,530,27.0,8.0,0.0,40,"1,000",51,8,3,<1,19,False,530
Veggie Mexican Pizza,23326,Specialties,https://www.tacobell.com/food/specialties/veggie-mexican-pizza,https://www.tacobell.com/images/23326_veggie_mexican_pizza_269x269.jpg,images/Veggie_Mexican_Pizza.jpg,$5.99,,460,23.0,6.0,0.0,25,740,48,7,3,<1,14,True,460
Crunchwrap Supreme®,22362,Specialties,https://www.tacobell.com/food/specialties/crunchwrap-supreme,https://www.tacobell.com/images/22362_crunchwrap_supreme_269x269.jpg,images/Crunchwrap_Supreme.jpg,$6.59,,530,20.0,7.0,0.0,20,"1,210",74,6,6,2,15,False,530
Black Bean Crunchwrap Supreme®,26051,Specialties,https://www.tacobell.com/food/specialties/black-bean-crunchwrap-supreme,https://www.tacobell.com/images/26051_vegetarian_crunchwrap_269x269.jpg,images/Black_Bean_Crunchwrap_Supreme.jpg,$5.99,,520,17.0,5.0,0.0,<5,"1,090",78,8,6,2,13,True,520
Cheesy Roll Up,22152,Specialties,https://www.tacobell.com/food/sides/cheesy-roll-up,https://www.tacobell.com/images/22152_cheesy_roll_up_269x269.jpg,images/Cheesy_Roll_Up.jpg,$1.29,,170,8.0,5.0,0.0,25,420,18,1,1,<1,8,True,180
