name,code,category,url,image_url,image_path,price,serving_size,ingredients,calories_kcal,total_fat_g,saturated_fat_g,trans_fat_g,cholesterol_mg,sodium_mg,total_carbs_g,fiber_g,sugars_g,added_sugars_g,protein_g,vegetarian
Cantina Chicken Soft Taco,23470,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-soft-taco,https://www.tacobell.com/images/23470_new_cantina_chicken_soft_taco_269x269.jpg,images/Cantina_Chicken_Soft_Taco.jpg,$3.49,,,260,15.0,6.0,0.0,50,520,19,4,<1,0,15,False
Cantina Chicken Crispy Taco,23471,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-crispy-taco,https://www.tacobell.com/images/23471_new_cantina_chicken_crispy_taco_269x269.jpg,images/Cantina_Chicken_Crispy_Taco.jpg,$3.49,,,330,15.0,4.5,0.0,35,890,40,3,3,1,16,False
Cantina Chicken Quesadilla,23477,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-quesadilla,https://www.tacobell.com/images/23477_cantina_chicken_quesadilla_new_269x269.jpg,images/Cantina_Chicken_Quesadilla.jpg,$7.19,,,660,,,,,,,,,,,False
Cantina Chicken Bowl,23473,Cantina chicken menu,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-bowl,https://www.tacobell.com/images/23473_new_cantina_chicken_bowl_269x269.jpg,images/Cantina_Chicken_Bowl.jpg,$8.99,,,530,28.0,9.0,0.0,80,"1,190",44,5,4,1,24,False
Avocado Verde Salsa Sauce Packet,23476,Cantina chicken menu,https://www.tacobell.com/food/sides-sweets/cantina-sauce,https://www.tacobell.com/images/23476_new_avocado_verde_salsa_sauce_packet_269x269.jpg,images/Avocado_Verde_Salsa_Sauce_Packet.jpg,$0.20,,,50,5.0,1.0,0.0,0,70,<1,0,0,0,0,True
Beefy Potato Loaded Griller,25501,New,https://www.tacobell.com/food/specialties/beefy-potato-loaded-griller,https://www.tacobell.com/images/25501_beef_potato_loaded_griller_269x269.jpg,images/Beefy_Potato_Loaded_Griller.jpg,$2.79,,,490,23.0,6.0,0.0,25,"1,120",56,5,3,2,12,False
Salted Caramel Churros 3pk,25504,New,https://www.tacobell.com/food/sweets/salted-caramel-churros-3pk,https://www.tacobell.com/images/25504_salted_caramel_churros_3pk_269x269.jpg,images/Salted_Caramel_Churros_3pk.jpg,$1.99,,,230,,,,,,,,,,,False
Mini Taco Salad,25502,New,https://www.tacobell.com/food/specialties/mini-taco-salad,https://www.tacobell.com/images/25502_mini_taco_salad_269x269.jpg,images/Mini_Taco_Salad.jpg,$2.49,,,280,15.0,4.0,0.0,20,490,27,6,2,0,9,False
Chips and Nacho Supreme Dip,25509,New,https://www.tacobell.com/food/deals-and-combos/chips-and-nacho-supreme-dip,https://www.tacobell.com/images/25509_chips_and_nacho_supreme_dip_new_269x269.jpg,images/Chips_and_Nacho_Supreme_Dip.jpg,$2.49,,,360,19.0,4.5,0.0,20,720,37,7,3,0,10,False
Avocado Ranch Chicken Stacker,25500,New,https://www.tacobell.com/food/specialties/avocado-ranch-chicken-stacker,https://www.tacobell.com/images/25500_chipotle_ranch_chicken_stacker_269x269.jpg,images/Avocado_Ranch_Chicken_Stacker.jpg,$2.99,,,430,,,,,,,,,,,False
