name,category,url,image_url,image_path,price,calories,calories_kcal,sodium_mg,sugars_g,protein_g,description,price_cal_text
Cheesy Roll Up,specialties,https://www.tacobell.com/food/sides/cheesy-roll-up,https://www.tacobell.com/images/22152_cheesy_roll_up_269x269.jpg,images/Cheesy_Roll_Up.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Crispy Chicken Nuggets Deluxe Combo,combos,https://www.tacobell.com/food/deals-and-combos/crispy-chicken-nuggets-deluxe-combo,https://www.tacobell.com/images/29414_crispy_chicken_nuggets_deluxe_combo_269x269.jpg,images/Crispy_Chicken_Nuggets_Deluxe_Combo.jpg,$0.00,1160-1580,,,,,Steak Garlic Nacho Fries,
10 Piece Crispy Chicken Nuggets Combo,combos,https://www.tacobell.com/food/deals-and-combos/10-piece-crispy-chicken-nuggets-combo,https://www.tacobell.com/images/29409_10pc_crispy_chicken_nuggets_combo_269x269.jpg,images/10_Piece_Crispy_Chicken_Nuggets_Combo.jpg,$0.00,950-1370,,,,,Cantina Chicken Crispy Taco,
Discovery Luxe Box,combos,https://www.tacobell.com/food/deals-and-combos/discovery-luxe-box,https://www.tacobell.com/images/23833_discovery_luxe_box_269x269.jpg,images/Discovery_Luxe_Box.jpg,$0.00,1200-1480,,,,,Steak Garlic Nacho Fries,
Build Your Own Luxe Cravings Box,combos,https://www.tacobell.com/food/deals-and-combos/build-your-own-luxe-cravings-box-1,https://www.tacobell.com/images/23622_build_your_own_luxe_cravings_box_269x269.jpg,images/Build_Your_Own_Luxe_Cravings_Box.jpg,$0.00,690-1940,,,,,"We turned up the Luxe in this lineup with new options, including vegetarian faves. Choose one Specialty: Crunchwrap Supreme®, Black Bean Crunchwrap Supreme®, Chalupa Supreme®, Black Bean Chalupa Supreme®,Cheesy Gordita Crunch, or Cheese Quesadilla. Choose one Taco or Burrito: Crunchy or Soft Taco, Spicy Potato Soft Taco, Beefy 5-Layer Burrito, Cheesy Bean & Rice Burrito, or Bean Burrito. Choose one Side: Cinnamon Twists, chips & Nacho Cheese sauce, or Cheesy Fiesta Potatoes. Finish with a Medium fountain drink.",
Supreme Luxe Box,combos,https://www.tacobell.com/food/deals-and-combos/supreme-luxe-box,https://www.tacobell.com/images/27276_supreme_luxe_box_269x269.jpg,images/Supreme_Luxe_Box.jpg,$0.00,1160-1440,,,,,"Chicken Chalupa Supreme, Beefy 5-Layer Burrito, Crunchy Taco, Twists, medium drink.",
Classic Luxe Box,combos,https://www.tacobell.com/food/deals-and-combos/classic-luxe-box,https://www.tacobell.com/images/27272_classic_luxe_box_269x269.jpg,images/Classic_Luxe_Box.jpg,$0.00,820-1100,,,,,"Includes a Beefy 5 Layer Burrito, a Crunchy Taco, Cinnamon Twists, and a medium fountain drink.",
Cantina Chicken Quesadilla,quesadillas,https://www.tacobell.com/food/deals-and-combos/cantina-chicken-quesadilla,https://www.tacobell.com/images/23477_cantina_chicken_quesadilla_new_269x269.jpg,images/Cantina_Chicken_Quesadilla.jpg,$0.00,0,True,False,False,False,Cantina Chicken Crispy Taco,
Chicken Quesadilla,quesadillas,https://www.tacobell.com/food/quesadillas/chicken-quesadilla,https://www.tacobell.com/images/22321_quesadilla_269x269.jpg,images/Chicken_Quesadilla.jpg,$0.00,0,True,False,False,False,Cantina Chicken Quesadilla,
Steak Quesadilla,quesadillas,https://www.tacobell.com/food/quesadillas/steak-quesadilla,https://www.tacobell.com/images/22322_steak_quesadilla_269x269.jpg,images/Steak_Quesadilla.jpg,$0.00,0,True,False,False,False,Cantina Chicken Quesadilla,
